"User","Car Thief","Imitator","Muscle","Picklock"
"pescadors","0","0","0","0"
"Barbarian","0","0","0","0"
"die_opfer","0","0","0","0"
"Senua","0","0","0","0"
"Alfonz","0","90","0","0"
"Mcrathe","0","0","0","0"
"DizzyD2","0","0","0","0"
"S_Broly","0","0","0","0"
"Tonywrinkles","0","0","0","0"
"SoulReaper666","0","0","0","0"
"Ilovegayporn","0","0","0","0"
"Iamcosima","0","0","0","0"
"Child_Of_Lilith","0","0","0","0"
"DarkFion","81","0","0","0"
"Kainaan87","0","0","0","0"
"LostMaster","0","0","0","0"
"Grindspawn","0","0","0","0"
"Iamkaylle90","0","0","0","0"
"uluxium","0","0","0","0"
"yucktharxper","0","0","0","0"
"DurianG","0","0","0","0"
"Keiyree","0","0","0","0"
"Thepartisan","0","0","0","0"
"amayia","0","0","0","0"
"Tadpole0912","0","0","0","0"
"TheBakerGirl","0","0","0","0"
"LilLoaf","0","0","0","0"
"Senzzo","0","0","0","0"
"GoodMoleMan","0","0","0","0"
"Syjren","0","0","0","0"
"mcng4570","0","0","0","0"
"Jaly","0","0","0","0"
"sodslaw","0","89","0","0"
"Ferrousbuns","0","0","0","0"
"thikool","0","0","0","0"
"Frost2211","0","0","0","0"
"EcoWarrior","0","0","0","0"
"Aluichi","84","0","85","0"
"Raksasha","0","0","0","0"
"sircumsise","0","0","0","0"
"JoshTorn","0","0","0","0"
"Sargonnass","0","0","0","0"
"ShaZaf","0","0","84","0"
"Weightman","0","0","0","0"
"MisterEmeat","0","0","0","0"
"BuilderSkully","0","0","0","0"
"OperadorEquis","0","0","0","0"
"Ur_x","0","0","0","0"
"TheDonsPizzeria","0","0","0","80"
"NateD0gg420","0","0","0","0"
"bruce_malino","0","0","81","0"
"AthaSara","80","0","0","0"
"NiX-D","0","0","0","0"
"GubtumboTheWise","0","0","0","0"
"GlennnSeaborg","66","73","0","0"
"XISTO","0","0","0","80"
"Kaybalen","0","0","0","67"
