"User","Kidnapper","Muscle","Picklock"
"Barbarian","0","0","0"
"die_opfer","0","0","0"
"Senua","0","0","0"
"Mcrathe","0","0","0"
"Ilovegayporn","0","0","0"
"Iamcosima","0","0","0"
"Child_Of_Lilith","0","0","0"
"DarkFion","84","0","0"
"Kainaan87","0","0","0"
"LostMaster","0","0","0"
"Grindspawn","0","0","0"
"Iamkaylle90","0","0","0"
"uluxium","0","0","0"
"DurianG","0","0","0"
"Keiyree","0","0","0"
"Thepartisan","0","0","0"
"amayia","0","0","0"
"Tadpole0912","0","0","0"
"TheBakerGirl","0","0","0"
"LilLoaf","0","0","0"
"GoodMoleMan","0","0","0"
"Syjren","0","0","0"
"mcng4570","0","0","0"
"Jaly","0","0","0"
"sodslaw","0","0","0"
"Ferrousbuns","0","0","0"
"thikool","0","0","0"
"Frost2211","0","0","0"
"troubling_rain","0","0","0"
"EcoWarrior","0","0","0"
"Aluichi","0","0","0"
"ShaZaf","0","0","0"
"BuilderSkully","0","0","0"
"OperadorEquis","0","0","0"
"TheDonsPizzeria","0","0","75"
"bruce_malino","0","0","0"
"AthaSara","0","0","0"
"NiX-D","0","0","0"
"GubtumboTheWise","0","0","0"
"GlennnSeaborg","0","50","0"
"XISTO","31","0","0"
"Mipmip83","0","0","0"
"Knetterkeesnl","0","0","0"
"Kaybalen","0","0","0"
