"User","Hustler","Imitator","Muscle #1","Muscle #2"
"Barbarian","93","0","0","0"
"die_opfer","0","0","0","0"
"Senua","0","0","0","0"
"mexiee29","0","0","0","0"
"Mcrathe","0","0","0","0"
"Iamcosima","0","0","0","0"
"DarkFion","0","0","0","0"
"Kainaan87","83","0","0","84"
"LostMaster","0","71","74","0"
"Grindspawn","0","0","0","0"
"Iamkaylle90","0","79","79","0"
"uluxium","0","0","0","0"
"TJNoakes","0","0","0","0"
"DurianG","85","0","0","0"
"Thepartisan","0","0","0","0"
"amayia","0","0","0","0"
"Tadpole0912","0","0","0","0"
"TheBakerGirl","0","74","74","74"
"LilLoaf","0","0","77","74"
"BZNelson726","0","0","0","0"
"Syjren","72","70","73","0"
"Jaly","79","0","0","81"
"Ferrousbuns","79","78","0","0"
"thikool","0","77","0","81"
"Frost2211","0","0","0","0"
"EcoWarrior","0","0","68","0"
"BuilderSkully","0","0","0","0"
"OperadorEquis","0","0","0","0"
"MaxxLethal","0","0","0","0"
"TheDonsPizzeria","0","0","0","0"
"GubtumboTheWise","0","0","0","0"
"GlennnSeaborg","0","0","0","0"
"XISTO","0","0","0","0"
"DexJoo","0","0","0","0"
"Knetterkeesnl","0","0","0","0"
